# squared distance, heading (radians)
15.008756,2.229743
16.368214,2.306205
16.369876,2.203218
17.314776,2.169473
17.513420,2.214135
18.338436,2.190207
19.360059,2.138799
19.821184,2.147739
20.776202,2.070423
21.056407,2.175154
21.710853,2.208553
22.822935,2.124833
22.950845,2.086659
23.226069,2.121292
23.488420,2.145080
24.646801,2.092781
24.140410,2.108943
24.188570,2.156666
24.685387,2.059320
24.302816,2.024258
24.787100,2.141128
24.962480,1.979396
24.868515,2.088653
24.980693,1.985999
24.802148,2.025912
24.355103,1.999380
24.762648,2.016332
24.533799,1.967847
23.907415,1.999092
24.127112,1.988457
23.640987,1.959637
23.733632,1.999948
23.494900,2.005187
23.123978,2.010317
22.841605,1.950838
22.661346,1.952838
22.750047,1.951602
21.485252,1.915453
20.880059,1.937827
20.853187,1.889331
20.328228,2.033991
19.926783,1.821574
19.500302,1.856297
19.610938,1.982337
18.703710,1.890247
18.513102,1.920737
17.999272,1.939622
18.536770,1.918177
17.794242,1.857027
16.828596,1.937521
15.526424,1.931104
14.782162,1.932804
14.369750,1.973943
14.332160,1.988718
13.131456,1.997453
12.980876,2.129665
12.004878,1.952858
11.255685,2.065992
10.620530,2.052060
10.017003,2.045175
9.869227,2.037194
9.179725,2.130406
8.769991,2.189621
7.869939,2.136128
7.456353,2.093528
6.880137,2.196177
6.909601,2.257892
6.293344,2.229704
6.011470,2.188774
6.037736,2.257278
5.263948,2.292952
4.896661,2.223456
4.534327,2.339723
4.261421,2.377865
3.993185,2.440495
4.005184,2.479645
3.137757,2.541541
3.567752,2.555194
3.177485,2.691853
2.692919,2.635628
2.503652,2.724470
2.557329,2.791474
2.226325,2.801841
2.470503,2.958985
2.374686,2.945229
2.245324,3.102134
2.713216,3.019421
2.417219,3.137596
1.923989,3.129413
2.619142,-3.016643
2.546391,-2.948431
2.050088,-2.805715
2.521383,-2.796214
2.873197,-2.737565
2.657089,-2.672915
3.098713,-2.689278
2.705179,-2.595861
2.954227,-2.495651
3.619656,-2.509412
3.798511,-2.425390
3.552817,-2.414612
4.569872,-2.374069
4.829486,-2.283096
4.896407,-2.318617
4.535093,-2.314974
5.161781,-2.246370
5.936180,-2.269423
6.565344,-2.254806
6.576813,-2.209652
7.193626,-2.158460
7.587962,-2.161981
7.761609,-2.113140
8.019755,-2.166100
9.133654,-2.085229
9.150317,-2.152250
9.807160,-2.019151
10.717832,-2.038901
11.514637,-2.046672
11.885240,-1.981508
11.635633,-2.033440
13.084730,-2.043239
13.887241,-1.945098
14.297281,-1.991037
15.269556,-1.960947
16.186398,-1.976628
16.321835,-1.967498
17.111099,-1.895050
17.466634,-1.928189
18.755577,-1.865068
19.116126,-1.881414
19.267747,-1.858576
18.986264,-1.890531
20.192592,-1.855026
19.712085,-1.835347
20.870438,-1.889121
20.844988,-1.932095
20.854003,-1.923763
21.110834,-1.813289
21.085046,-1.859557
21.907318,-1.886785
20.806249,-1.804701
21.429756,-1.838720
21.208824,-1.769462
21.069321,-1.800534
21.828557,-1.760960
21.554045,-1.779399
21.048511,-1.814582
21.337679,-1.779477
20.714620,-1.791175
20.465885,-1.686077
20.582363,-1.768171
21.257161,-1.689827
20.192829,-1.757227
19.929885,-1.735068
19.368856,-1.723993
19.443413,-1.785409
19.003697,-1.682302
18.260723,-1.749252
17.808022,-1.725128
17.672393,-1.648265
17.493865,-1.716436
17.135951,-1.668632
16.489490,-1.702723
16.564120,-1.712059
16.666807,-1.689545
15.177872,-1.658991
14.437613,-1.733934
14.042570,-1.750112
13.180184,-1.665230
12.728608,-1.725479
11.911380,-1.693398
11.027235,-1.770419
10.137421,-1.664867
10.166521,-1.770965
9.340645,-1.798249
8.973740,-1.701314
8.110294,-1.766029
7.451727,-1.748789
6.792136,-1.705621
6.740368,-1.743797
5.692402,-1.753962
5.643170,-1.739787
4.589976,-1.828557
5.285813,-1.821819
4.411376,-1.889783
3.192509,-1.837238
3.155896,-1.787100
3.476875,-1.829747
2.637720,-1.903218
2.395351,-1.960601
2.119556,-1.903348
2.331895,-1.892062
1.761203,-1.965952
1.613783,-2.076977
1.600008,-2.123052
0.701522,-2.085605
1.355193,-2.127334
0.597305,-2.256615
0.099830,-2.300709
0.272143,-2.366706
0.262424,-2.424172
0.428168,-2.677896
0.451758,-2.779608
0.300947,-2.981402
0.088938,-3.091803
0.302249,2.932586
0.469693,2.795754
0.283475,2.666375
0.930178,2.429490
1.150704,2.326008
0.574636,2.251027
0.720128,2.118574
1.454910,2.047157
0.764916,2.091853
1.266035,2.064297
1.533599,2.026791
2.129182,1.941406
1.993597,1.908422
1.860064,1.868276
2.249023,1.863616
3.319194,1.814383
2.934550,1.843349
4.060604,1.824273
3.923767,1.774340
4.359872,1.780198
4.339852,1.911986
4.986359,1.786047
5.329653,1.803293
5.804122,1.771479
7.389632,1.777607
7.309460,1.683895
7.557582,1.704840
8.074026,1.696847
8.508891,1.734713
9.473007,1.755163
9.705542,1.754305
11.208499,1.718638
11.083285,1.688033
12.058520,1.702286
12.652235,1.708965
12.878385,1.678492
13.880096,1.715992
14.093074,1.656650
15.690634,1.624391
16.458522,1.640435
16.484856,1.715253
16.750824,1.667057
17.233344,1.700270
17.284403,1.674327
17.954303,1.665342
18.438246,1.669031
18.610694,1.664043
18.964139,1.656853
19.034665,1.703467
19.273889,1.646405
19.234651,1.653896
20.145826,1.666416
